DATE,FXRUSD,FXRTWI,FXREUR,FXRJY,FXRUKPS,FXRSF,FXRNZD,FXRCD,FXRHKD,FXRSD,FXRMR,FXRNTD,FXRSKW,FXRIR,FXRCR,FXRSDR,FXRDEM,FXRFRF,FXRESP,FXRITL,FXRNLG,FXRBEF,FXRATS,FXRFIM,FXRPTE,FXRIEP,FXRGRD
12-Dec-1983,0.9175,83.0,,216.35,0.6392,,1.4031,1.1442,7.1758,1.9588,,36.87,732.44,,1.8248,0.8807,,,,,,,,,,,
13-Dec-1983,0.9010,81.6,,212.71,0.6308,1.9957,1.3864,1.1257,7.0458,1.9245,2.1120,36.21,720.17,896,1.7920,0.8651,2.4852,7.5657,,1504.22,2.7859,50.44,,,,,
14-Dec-1983,0.9000,81.7,,212.40,0.6347,1.9951,1.3878,1.1263,7.0362,1.9217,2.1087,36.18,719.64,895,1.7900,0.8647,2.4902,7.5969,,1507.05,2.7945,50.61,,,,,
15-Dec-1983,0.8978,81.3,,211.03,0.6321,1.9823,1.3833,1.1215,7.0194,1.9154,2.1000,36.09,717.70,892,1.7856,0.8647,2.4778,7.5761,,1499.10,2.7811,50.42,,,,,
16-Dec-1983,0.8928,80.9,,209.67,0.6287,1.9720,1.3763,1.1152,6.9808,1.9078,2.0905,35.89,714.06,887,1.7757,0.8581,2.4704,7.5468,,1496.33,2.7720,50.30,,,,,
19-Dec-1983,0.8770,79.7,,207.54,0.6190,1.9389,1.3608,1.0963,6.8595,1.8750,2.0552,35.26,700.55,872,1.7443,0.8445,2.4293,7.4207,,1472.48,2.7277,49.50,,,,,
20-Dec-1983,0.8795,79.8,,206.95,0.6189,1.9396,1.3615,1.0990,6.8438,1.8755,2.0580,35.38,703.42,875,1.7492,0.8470,2.4331,7.4230,,1475.80,2.7316,49.57,,,,,
21-Dec-1983,0.8905,80.7,,209.31,0.6274,1.9692,1.3759,1.1128,6.9312,1.8981,2.0807,35.85,712.40,886,1.7711,0.8568,2.4671,7.5310,,1496.49,2.7702,50.28,,,,,
22-Dec-1983,0.9005,81.5,,211.21,0.6308,1.9881,1.3841,1.1235,7.0108,1.9182,2.1040,36.28,719.68,895,1.7910,0.8666,2.4888,7.6025,,1511.26,2.7963,50.72,,,,,
23-Dec-1983,0.9005,81.4,,210.58,0.6296,1.9820,1.3831,1.1211,7.0099,1.9156,2.1045,36.26,719.68,895,1.7910,0.8657,2.4865,7.6025,,1510.14,2.7952,50.67,,,,,
28-Dec-1983,0.8985,81.2,,210.02,0.6260,1.9646,1.3789,1.1176,6.9935,1.9125,2.1020,36.19,717.09,894,1.7870,0.8624,2.4507,7.5613,,1498.70,2.7746,50.36,,,,,
29-Dec-1983,0.8925,80.6,,208.18,0.6218,1.9523,1.3710,1.1112,6.9477,1.8992,2.0876,35.96,711.86,887,1.7680,0.8563,2.4682,7.5001,,1488.69,2.7551,50.02,,,,,
30-Dec-1983,0.9020,81.1,,209.22,0.6205,1.9650,1.3765,1.1224,7.0167,1.9158,2.1089,36.34,719.07,897,1.7868,0.8631,2.4906,7.4916,,1493.71,2.7550,50.03,,,,,
01-Jan-1984,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Jan-1984,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Jan-1984,0.9025,81.2,,208.97,0.6244,1.9704,1.3772,1.1232,7.0296,1.9171,2.1073,36.36,718.57,897,1.7878,0.8621,2.5336,7.5467,,1498.60,2.7731,50.39,,,,,
04-Jan-1984,0.8998,81.4,,210.06,0.6319,1.9964,1.3834,1.1224,7.0238,1.9154,2.1051,36.25,716.42,895,1.8002,0.8616,2.5690,7.6150,,1511.56,2.7975,50.83,,,,,
05-Jan-1984,0.8988,81.5,,209.65,0.6343,2.0048,1.3838,1.1222,7.0084,1.9162,2.1051,36.19,715.89,894,1.8072,0.8660,2.5761,7.6551,,1518.19,2.8117,51.09,,,,,
06-Jan-1984,0.9023,81.9,,210.42,0.6400,2.0186,1.3901,1.1282,7.0379,1.9246,2.1148,36.32,719.58,898,1.8234,0.8698,2.5751,7.7296,,1534.14,2.8404,51.61,,,,,
09-Jan-1984,0.9083,82.6,,211.59,0.6491,2.0403,1.4006,1.1358,7.0866,1.9371,2.1291,36.54,724.73,904,1.8355,0.8767,2.5687,7.8318,,1554.67,2.8802,52.32,,,,,
10-Jan-1984,0.9060,82.6,,211.82,0.6516,2.0498,1.4005,1.1359,7.0668,1.9325,2.1228,36.44,723.08,901,1.8491,0.8769,2.5603,7.8627,,1559.80,2.8883,52.48,,,,,
11-Jan-1984,0.9080,82.7,,212.47,0.6495,2.0460,1.4014,1.1377,7.0824,1.9349,2.1261,36.50,725.58,903,1.8532,0.8789,2.5257,7.8719,,1561.20,2.8893,52.48,,,,,
12-Jan-1984,0.9052,82.5,,212.45,0.6472,2.0335,1.3986,1.1323,7.0560,1.9293,2.1200,36.39,723.25,900,1.8475,0.8760,2.5220,7.8476,,1554.12,2.8822,52.31,,,,,
13-Jan-1984,0.9050,82.4,,212.31,0.6450,2.0281,1.3970,1.1307,7.0567,1.9286,2.1186,36.38,722.46,900,1.8471,0.8774,2.5389,7.8346,,1550.22,2.8756,52.19,,,,,
16-Jan-1984,0.9038,82.0,,210.68,0.6393,2.0044,1.3909,1.1259,7.0460,1.9236,2.1143,36.33,722.41,898,1.8447,0.8757,2.5205,7.7266,,1532.62,2.8363,51.53,,,,,
17-Jan-1984,0.9030,81.9,,210.67,0.6351,2.0056,1.3879,1.1249,7.0402,1.9238,2.1142,36.30,720.96,897,1.8430,0.8720,2.5172,7.7152,,1529.68,2.8345,51.48,,,,,
18-Jan-1984,0.9020,82.0,,211.27,0.6405,2.0209,1.3915,1.1263,7.0361,1.9231,2.1125,36.26,719.25,896,1.8502,0.8684,2.5469,7.7608,,1541.47,2.8537,51.78,,,,,
19-Jan-1984,0.8985,81.6,,210.11,0.6361,2.0079,1.3853,1.1211,7.0087,1.9144,2.1034,36.12,716.55,892,1.8430,0.8687,2.5580,7.7082,,1530.82,2.8363,51.40,,,,,
20-Jan-1984,0.9015,81.8,,210.41,0.6356,2.0040,1.3873,1.1233,7.0340,1.9197,2.1095,36.24,719.40,895,1.8492,0.8688,2.5633,7.7020,,1533.90,2.8328,51.39,,,,,
23-Jan-1984,0.9024,82.1,,211.25,0.6438,2.0225,1.3938,1.1251,7.0365,1.9230,2.1128,36.27,719.21,897,1.8603,0.8699,2.5566,7.7940,,1550.10,2.8651,51.98,,,,,
24-Jan-1984,0.9067,82.5,,212.19,0.6463,2.0319,1.3988,1.1303,7.0700,1.9313,2.1221,36.44,723.55,901,1.8785,0.8764,2.5710,7.8266,,1556.02,2.8774,52.23,,,,,
25-Jan-1984,0.9082,82.7,,212.70,0.6482,2.0385,1.4011,1.1344,7.0812,1.9349,2.1256,36.50,725.47,904,1.8816,0.8794,2.5838,7.8450,,1559.04,2.8861,52.30,,,,,
26-Jan-1984,0.9087,82.6,,212.68,0.6454,2.0353,1.3993,1.1330,7.0829,1.9354,2.1259,36.51,726.60,904,1.8732,0.8797,2.5824,7.8198,,1554.22,2.8765,52.20,,,,,
27-Jan-1984,0.9131,83.1,,213.94,0.6500,2.0484,1.4061,1.1388,7.1213,1.9454,2.1367,36.69,729.84,909,1.8936,0.8823,2.5687,7.8664,,1565.51,2.8930,52.50,,,,,
31-Jan-1984,0.9178,83.5,,215.48,0.6526,2.0606,1.4116,1.1465,7.1648,1.9555,2.1477,36.88,733.23,913,1.9033,0.8874,2.5338,7.9032,,1573.11,2.9083,52.78,,,,,
01-Feb-1984,0.9203,83.7,,215.95,0.6550,2.0652,1.4150,1.1486,7.1843,1.9607,2.1535,36.98,735.60,916,1.9085,0.8899,2.5479,7.9003,,1571.87,2.9080,52.76,,,,,
