DATE,FXRATS,FXRBEF,FXRCD,FXRCR,FXRDEM,FXRESP,FXREUR,FXRFIM,FXRFRF,FXRGRD,FXRHKD,FXRIEP,FXRIR,FXRIRE,FXRITL,FXRJY,FXRMR,FXRNLG,FXRNTD,FXRNZD,FXRPHP,FXRPNGK,FXRPTE,FXRSARD,FXRSARY,FXRSD,FXRSDR,FXRSF,FXRSK,FXRSKW,FXRTB,FXRTWI,FXRUAED,FXRUKPS,FXRUSD,FXRVD
1983-12-12,,,1.1442,1.8248,,,,,,,7.1758,,,,,216.35,,,36.87,1.4031,,,,,,1.9588,0.8807,,,732.44,,83.0,,0.6392,0.9175,
1983-12-13,,50.44,1.1257,1.792,2.4852,,,,7.5657,,7.0458,,896,,1504.22,212.71,2.112,2.7859,36.21,1.3864,,,,,,1.9245,0.8651,1.9957,,720.17,,81.6,,0.6308,0.9010,
1983-12-14,,50.61,1.1263,1.79,2.4902,,,,7.5969,,7.0362,,895,,1507.05,212.4,2.1087,2.7945,36.18,1.3878,,,,,,1.9217,0.8647,1.9951,,719.64,,81.7,,0.6347,0.9000,
1983-12-15,,50.42,1.1215,1.7856,2.4778,,,,7.5761,,7.0194,,892,,1499.1,211.03,2.1,2.7811,36.09,1.3833,,,,,,1.9154,0.8647,1.9823,,717.7,,81.3,,0.6321,0.8978,
1983-12-16,,50.3,1.1152,1.7757,2.4704,,,,7.5468,,6.9808,,887,,1496.33,209.67,2.0905,2.772,35.89,1.3763,,,,,,1.9078,0.8581,1.9720,,714.06,,80.9,,0.6287,0.8928,
1983-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-19,,49.5,1.0963,1.7443,2.4293,,,,7.4207,,6.8595,,872,,1472.48,207.54,2.0552,2.7277,35.26,1.3608,,,,,,1.875,0.8445,1.9389,,700.55,,79.7,,0.619,0.8770,
1983-12-20,,49.57,1.0990,1.7492,2.4331,,,,7.423,,6.8438,,875,,1475.8,206.95,2.058,2.7316,35.38,1.3615,,,,,,1.8755,0.8470,1.9396,,703.42,,79.8,,0.6189,0.8795,
1983-12-21,,50.28,1.1128,1.7711,2.4671,,,,7.531,,6.9312,,886,,1496.49,209.31,2.0807,2.7702,35.85,1.3759,,,,,,1.8981,0.8568,1.9692,,712.4,,80.7,,0.6274,0.8905,
